"Original 1.5DF.spc - RawData"
"Wavelength nm.","Abs."
890.50,0.208
891.00,0.208
891.50,0.209
892.00,0.210
892.50,0.210
893.00,0.209
893.50,0.210
894.00,0.210
894.50,0.210
895.00,0.211
895.50,0.211
896.00,0.211
896.50,0.210
897.00,0.210
897.50,0.210
898.00,0.210
898.50,0.210
899.00,0.209
899.50,0.210
900.00,0.210
900.50,0.210
901.00,0.209
901.50,0.208
902.00,0.208
902.50,0.209
903.00,0.209
903.50,0.209
904.00,0.209
904.50,0.210
905.00,0.211
905.50,0.210
906.00,0.210
906.50,0.209
907.00,0.209
907.50,0.209
908.00,0.209
908.50,0.209
909.00,0.209
909.50,0.210
910.00,0.210
910.50,0.210
911.00,0.209
911.50,0.209
912.00,0.210
912.50,0.209
913.00,0.209
913.50,0.209
914.00,0.209
914.50,0.209
915.00,0.208
915.50,0.207
916.00,0.207
916.50,0.207
917.00,0.206
917.50,0.207
918.00,0.207
918.50,0.208
919.00,0.208
919.50,0.207
920.00,0.206
920.50,0.205
921.00,0.204
921.50,0.204
922.00,0.205
922.50,0.205
923.00,0.203
923.50,0.203
924.00,0.203
924.50,0.201
925.00,0.201
925.50,0.201
926.00,0.202
926.50,0.201
927.00,0.201
927.50,0.200
928.00,0.200
928.50,0.201
929.00,0.201
929.50,0.200
930.00,0.200
930.50,0.199
931.00,0.198
931.50,0.199
932.00,0.198
932.50,0.197
933.00,0.197
933.50,0.200
934.00,0.200
934.50,0.201
935.00,0.201
935.50,0.201
936.00,0.203
936.50,0.202
937.00,0.201
937.50,0.202
938.00,0.201
938.50,0.200
939.00,0.199
939.50,0.198
940.00,0.198
940.50,0.198
941.00,0.197
941.50,0.196
942.00,0.194
942.50,0.193
943.00,0.193
943.50,0.193
944.00,0.194
944.50,0.193
945.00,0.192
945.50,0.192
946.00,0.192
946.50,0.193
947.00,0.192
947.50,0.193
948.00,0.192
948.50,0.190
949.00,0.188
949.50,0.187
950.00,0.189
950.50,0.190
951.00,0.189
951.50,0.186
952.00,0.185
952.50,0.185
953.00,0.188
953.50,0.188
954.00,0.187
954.50,0.189
955.00,0.187
955.50,0.186
956.00,0.186
956.50,0.186
957.00,0.186
957.50,0.184
958.00,0.186
958.50,0.188
959.00,0.187
959.50,0.185
960.00,0.183
960.50,0.183
961.00,0.186
961.50,0.189
962.00,0.190
962.50,0.193
963.00,0.194
963.50,0.190
964.00,0.188
964.50,0.189
965.00,0.189
965.50,0.189
966.00,0.190
966.50,0.191
967.00,0.194
967.50,0.195
968.00,0.195
968.50,0.197
969.00,0.196
969.50,0.194
970.00,0.195
970.50,0.196
971.00,0.197
971.50,0.199
972.00,0.196
972.50,0.199
973.00,0.203
973.50,0.204
974.00,0.205
974.50,0.205
975.00,0.209
975.50,0.211
976.00,0.211
976.50,0.212
977.00,0.211
977.50,0.212
978.00,0.211
978.50,0.214
979.00,0.215
979.50,0.212
980.00,0.214
980.50,0.217
981.00,0.219
981.50,0.219
982.00,0.222
982.50,0.225
983.00,0.226
983.50,0.229
984.00,0.231
984.50,0.231
985.00,0.228
985.50,0.225
986.00,0.222
986.50,0.220
987.00,0.217
987.50,0.216
988.00,0.220
988.50,0.220
989.00,0.220
989.50,0.224
990.00,0.228
990.50,0.229
991.00,0.228
991.50,0.229
992.00,0.227
992.50,0.225
993.00,0.225
993.50,0.224
994.00,0.223
994.50,0.223
995.00,0.224
995.50,0.223
996.00,0.226
996.50,0.224
997.00,0.222
997.50,0.221
998.00,0.221
998.50,0.222
999.00,0.220
999.50,0.221
1000.00,0.221
1000.50,0.222
1001.00,0.221
1001.50,0.219
1002.00,0.220
1002.50,0.222
