A	B
1224.07416	26.75779
1225.2447	27.43547
1226.41494	26.37069
1227.58487	25.54986
1228.75451	25.66182
1229.92385	25.74358
1231.0929	25.01376
1232.26164	23.68132
1233.43008	22.11748
1234.59823	21.7294
1235.76608	23.14032
1236.93363	24.59852
1238.10088	24.73693
1239.26783	24.52938
1240.43448	25.29056
1241.60084	26.06353
1242.76689	26.36439
1243.93265	26.4096
1245.09811	26.52933
1246.26327	26.05904
1247.42814	25.55709
1248.59271	26.03347
1249.75698	26.9314
1250.92095	26.35825
1252.08462	24.55568
1253.248	23.92112
1254.41108	24.69447
1255.57386	24.94368
1256.73634	23.85343
1257.89853	22.91498
1259.06042	22.88349
1260.22202	23.45049
1261.38331	24.00931
1262.54431	24.46533
1263.70501	25.44453
1264.86542	26.37795
1266.02553	26.33252
1267.18534	25.07048
1268.34486	24.91626
1269.50408	25.55434
1270.663	25.50399
1271.82162	24.43036
1272.97995	23.8447
1274.13799	23.53902
1275.29573	22.91724
1276.45317	22.89595
1277.61032	23.85448
1278.76717	25.03536
1279.92372	25.33134
1281.07998	24.59977
1282.23594	23.57714
1283.39161	23.21631
1284.54698	24.10783
1285.70206	24.88378
1286.85684	24.89358
1288.01132	23.93331
1289.16551	23.18072
1290.31941	23.22559
1291.47301	24.93707
1292.62631	27.71392
1293.77932	29.30886
1294.93204	28.27206
1296.08446	25.74842
1297.23658	24.31088
1298.38841	24.53644
1299.53995	25.53499
1300.69119	26.0195
1301.84214	25.09664
1302.99279	23.17241
1304.14315	22.2429
1305.29322	23.56553
1306.44299	25.23563
1307.59246	25.63604
1308.74165	26.09324
1309.89053	27.57216
1311.03913	28.12361
1312.18743	26.94061
1313.33544	25.97815
1314.48315	26.74421
1315.63057	27.69058
1316.77769	27.84397
1317.92453	27.09158
1319.07107	26.86802
1320.21731	26.56333
1321.36327	25.82274
1322.50893	24.13894
1323.65429	23.45146
1324.79937	22.90916
1325.94415	21.46392
1327.08863	19.03236
1328.23283	18.80344
1329.37673	20.51426
1330.52034	22.70084
1331.66366	23.90409
1332.80668	24.20671
1333.94941	22.68587
1335.09185	20.55227
1336.234	19.82209
1337.37586	20.59428
1338.51742	21.13241
1339.65869	21.05756
1340.79967	21.11312
1341.94036	21.68491
1343.08075	22.50952
1344.22086	23.21269
1345.36067	23.29448
1346.50019	22.71354
1347.63942	21.78525
1348.77835	21.24772
1349.917	21.40625
1351.05535	21.814
1352.19341	21.83882
1353.33119	21.72897
1354.46867	21.35812
1355.60586	21.03521
1356.74275	20.71745
1357.87936	21.27815
1359.01568	22.09699
1360.1517	22.85385
1361.28744	21.87054
