WAVENUMBER	INTENSITY	A1	A2	B
1/cm	Counts/s	SC+M Total Fit	SC lorentzian	M BWF
				
	5 pts SG smooth of INTENSITY"Counts/s"			
300.03002	-8.69603	4.21708	0.00738	4.20969
301.43696	-8.97522	4.21748	0.0074	4.21008
302.84354	-9.7856	4.21788	0.00742	4.21046
304.24975	-11.22568	4.21828	0.00743	4.21085
305.6556	-12.41759	4.21869	0.00745	4.21124
307.0611	-11.96838	4.21909	0.00746	4.21163
308.46623	-10.72841	4.2195	0.00748	4.21201
309.871	-9.77296	4.2199	0.0075	4.2124
311.2754	-9.34409	4.22031	0.00751	4.2128
312.67945	-8.67052	4.22072	0.00753	4.21319
314.08314	-7.88904	4.22113	0.00755	4.21358
315.48647	-7.81758	4.22154	0.00756	4.21397
316.88943	-8.58441	4.22195	0.00758	4.21437
318.29204	-8.94814	4.22236	0.0076	4.21476
319.69429	-8.33695	4.22277	0.00761	4.21516
321.09617	-7.86202	4.22318	0.00763	4.21555
322.4977	-8.40468	4.2236	0.00765	4.21595
323.89886	-8.99239	4.22401	0.00767	4.21635
325.29967	-8.93961	4.22443	0.00768	4.21675
326.70012	-8.76742	4.22484	0.0077	4.21715
328.1002	-8.72074	4.22526	0.00772	4.21755
329.49993	-7.8302	4.22568	0.00773	4.21795
330.8993	-6.60956	4.2261	0.00775	4.21835
332.29831	-6.49999	4.22652	0.00777	4.21875
333.69696	-7.64235	4.22694	0.00779	4.21916
335.09525	-8.42333	4.22736	0.0078	4.21956
336.49318	-8.39269	4.22779	0.00782	4.21996
337.89075	-7.9642	4.22821	0.00784	4.22037
339.28797	-7.70075	4.22863	0.00786	4.22078
340.68482	-7.45642	4.22906	0.00787	4.22119
342.08132	-7.13819	4.22949	0.00789	4.22159
343.47746	-6.49017	4.22991	0.00791	4.222
344.87323	-5.99948	4.23034	0.00793	4.22241
346.26866	-5.89503	4.23077	0.00794	4.22283
347.66372	-6.40598	4.2312	0.00796	4.22324
349.05842	-7.36	4.23163	0.00798	4.22365
350.45277	-8.45965	4.23206	0.008	4.22407
351.84676	-8.64571	4.2325	0.00802	4.22448
353.24039	-7.74147	4.23293	0.00804	4.2249
354.63366	-6.35819	4.23337	0.00805	4.22531
356.02658	-5.3071	4.2338	0.00807	4.22573
357.41914	-4.65935	4.23424	0.00809	4.22615
358.81134	-4.70225	4.23468	0.00811	4.22657
360.20318	-5.42616	4.23511	0.00813	4.22699
361.59467	-6.58082	4.23555	0.00815	4.22741
362.9858	-7.14183	4.23599	0.00816	4.22783
364.37657	-6.84377	4.23643	0.00818	4.22825
365.76698	-6.08006	4.23688	0.0082	4.22868
367.15704	-5.94462	4.23732	0.00822	4.2291
368.54674	-6.35704	4.23776	0.00824	4.22953
369.93609	-6.70929	4.23821	0.00826	4.22995
371.32507	-6.33478	4.23866	0.00828	4.23038
372.71371	-5.50683	4.2391	0.0083	4.23081
374.10198	-4.64077	4.23955	0.00831	4.23124
375.4899	-4.40114	4.24	0.00833	4.23167
