WAVELENGTH	ABS
nm	Abs
488.65823	0.49085
488.82151	0.49099
488.98478	0.49144
489.14804	0.49194
489.3113	0.49179
489.47455	0.49157
489.63779	0.49182
489.80103	0.49182
489.96426	0.4917
490.12748	0.49118
490.2907	0.49079
490.45391	0.4912
490.61711	0.49147
490.7803	0.49166
490.94349	0.49197
491.10667	0.49241
491.26984	0.49292
491.43301	0.49277
491.59617	0.4924
491.75932	0.49226
491.92247	0.49187
492.08561	0.49156
492.24874	0.49209
492.41187	0.49296
492.57499	0.49305
492.7381	0.49283
492.9012	0.49287
493.0643	0.49291
493.22739	0.49341
493.39047	0.49381
493.55355	0.49372
493.71662	0.49376
493.87968	0.4938
494.04274	0.49355
494.20579	0.49351
494.36883	0.49417
494.53187	0.4948
494.69489	0.49513
494.85791	0.49513
495.02093	0.49493
495.18393	0.49493
495.34693	0.49529
495.50993	0.49617
495.67291	0.49687
495.83589	0.49688
495.99887	0.49923
496.16183	0.50183
496.32479	0.49998
496.48774	0.49787
496.65068	0.49755
496.81362	0.49798
496.97655	0.49867
497.13947	0.49853
497.30239	0.4983
497.4653	0.49886
497.6282	0.4991
497.7911	0.49865
497.95399	0.49895
498.11687	0.49981
498.27974	0.50049
498.44261	0.50108
498.60547	0.50156
498.76832	0.50175
498.93117	0.50203
499.09401	0.5022
499.25684	0.50183
499.41967	0.50186
499.58248	0.50278
499.7453	0.50341
499.9081	0.50329
500.0709	0.50308
500.23369	0.5033
500.39647	0.50369
500.55925	0.50415
500.72202	0.50522
500.88478	0.50557
501.04753	0.50481
501.21028	0.50491
501.37302	0.50599
501.53576	0.50652
501.69848	0.50623
501.8612	0.50608
502.02392	0.50623
502.18662	0.50667
502.34932	0.50699
502.51201	0.50691
502.6747	0.50718
502.83737	0.5074
503.00005	0.50745
503.16271	0.50811
503.32537	0.50867
503.48802	0.50891
503.65066	0.50938
503.81329	0.50961
503.97592	0.50966
504.13854	0.50978
504.30116	0.50954
504.46376	0.50946
504.62636	0.51017
504.78896	0.51071
504.95154	0.51065
505.11412	0.51078
505.2767	0.51101
505.43926	0.51092
505.60182	0.51093
505.76437	0.51094
505.92691	0.51071
506.08945	0.51062
506.25198	0.51083
506.4145	0.511
506.57702	0.51087
506.73953	0.51089
506.90203	0.51063
507.06452	0.51005
507.22701	0.51013
507.38949	0.51041
507.55196	0.51012
507.71443	0.5095
507.87689	0.50916
508.03934	0.50894
508.20178	0.50893
508.36422	0.50903
508.52665	0.50868
508.68908	0.50868
508.85149	0.509
509.0139	0.5087
509.1763	0.50843
509.3387	0.50845
509.50109	0.50791
509.66347	0.50707
509.82584	0.5067
509.98821	0.50682
510.15057	0.50697
510.31292	0.50656
510.47527	0.50597
510.6376	0.5057
510.79994	0.50528
510.96226	0.50467
511.12458	0.50437
511.28689	0.50425
511.44919	0.5036
511.61149	0.50304
511.77377	0.50302
511.93606	0.50293
512.09833	0.50264
512.2606	0.50203
512.42286	0.50158
512.58511	0.50143
512.74736	0.50055
512.90959	0.49965
513.07183	0.49953
513.23405	0.49897
513.39627	0.49838
513.55848	0.49845
513.72068	0.49794
513.88288	0.49661
514.04507	0.49578
514.20725	0.49545
514.36942	0.49471
514.53159	0.49418
514.69375	0.49405
514.8559	0.49356
515.01805	0.49299
515.18019	0.49247
515.34232	0.49168
515.50445	0.491
515.66656	0.49081
515.82867	0.49037
515.99078	0.48942
516.15287	0.48879
516.31496	0.48841
516.47704	0.488
516.63912	0.48756
516.80119	0.48697
516.96325	0.48653
517.1253	0.48638
517.28735	0.48564
517.44938	0.48441
517.61142	0.48364
517.77344	0.48332
517.93546	0.48257
518.09747	0.4814
518.25947	0.4809
518.42147	0.48041
518.58346	0.47974
518.74544	0.47952
518.90741	0.47928
519.06938	0.4787
519.23134	0.47769
519.39329	0.47663
519.55524	0.47597
519.71718	0.47556
519.87911	0.47519
520.04103	0.47494
520.20295	0.47468
520.36486	0.47388
520.52676	0.4729
520.68865	0.47246
520.85054	0.47228
521.01242	0.47196
521.1743	0.47125
521.33616	0.47021
521.49802	0.46941
521.65988	0.46868
521.82172	0.4678
521.98356	0.46707
522.14539	0.46653
522.30721	0.46629
522.46903	0.46633
522.63084	0.46568
522.79264	0.4644
522.95443	0.46405
523.11622	0.46432
523.278	0.46381
523.43977	0.46266
523.60154	0.46165
523.7633	0.46099
523.92505	0.46055
524.08679	0.46024
524.24853	0.45957
524.41026	0.45877
524.57198	0.45847
524.7337	0.45875
524.89541	0.45879
525.05711	0.45755
525.2188	0.45619
525.38049	0.45561
525.54217	0.45528
525.70384	0.45483
525.8655	0.45421
526.02716	0.454
526.18881	0.45397
526.35045	0.45353
526.51209	0.45275
526.67372	0.4518
526.83534	0.4513
526.99695	0.45122
527.15856	0.4509
527.32016	0.45055
527.48175	0.45028
527.64334	0.44971
527.80491	0.4491
527.96648	0.44872
528.12805	0.4482
528.2896	0.4477
528.45115	0.44762
528.61269	0.44707
528.77423	0.44615
528.93575	0.4458
529.09727	0.44553
529.25879	0.44518
529.42029	0.4448
529.58179	0.44435
529.74328	0.44403
529.90476	0.4437
530.06624	0.44338
530.22771	0.44294
530.38917	0.44237
530.55062	0.44217
530.71207	0.44209
530.87351	0.44157
531.03494	0.44098
531.19637	0.44087
531.35779	0.44067
531.5192	0.44014
531.6806	0.43999
531.842	0.43993
532.00339	0.43948
532.16477	0.43918
532.32614	0.43918
532.48751	0.43889
532.64887	0.43852
532.81022	0.43836
532.97157	0.43819
533.1329	0.43787
533.29423	0.43742
533.45556	0.43712
533.61687	0.43695
533.77818	0.43677
533.93948	0.43663
534.10078	0.43618
534.26206	0.43559
534.42334	0.4355
534.58462	0.43574
534.74588	0.43567
534.90714	0.43496
535.06839	0.43424
535.22963	0.43418
535.39087	0.43428
535.55209	0.43403
535.71332	0.43377
535.87453	0.43377
536.03574	0.43348
536.19693	0.43292
536.35813	0.43277
536.51931	0.43278
536.68049	0.43253
536.84166	0.43231
537.00282	0.4323
537.16397	0.43228
537.32512	0.4323
537.48626	0.43239
537.6474	0.43228
537.80852	0.43212
537.96964	0.43218
538.13075	0.43203
538.29185	0.43184
538.45295	0.43197
538.61404	0.43183
538.77512	0.4315
538.9362	0.43146
539.09726	0.43159
539.25832	0.43151
539.41938	0.43114
539.58042	0.43089
539.74146	0.43098
539.90249	0.43093
540.06351	0.43069
540.22453	0.43056
540.38553	0.43064
540.54654	0.43061
540.70753	0.43015
540.86852	0.43003
541.02949	0.43036
541.19047	0.43027
541.35143	0.42991
541.51239	0.42976
541.67334	0.42995
541.83428	0.42995
541.99521	0.42972
542.15614	0.42963
542.31706	0.42951
542.47797	0.42954
542.63888	0.42981
542.79977	0.42991
542.96067	0.42977
543.12155	0.42971
543.28242	0.42985
543.44329	0.42985
543.60415	0.42974
543.76501	0.42988
543.92585	0.43028
544.08669	0.43023
544.24752	0.42985
544.40835	0.42964
544.56916	0.42955
544.72997	0.42978
544.89077	0.42993
545.05157	0.42989
545.21236	0.43016
545.37313	0.43026
545.53391	0.43016
545.69467	0.43034
545.85543	0.43053
546.01618	0.43065
546.17692	0.4308
546.33766	0.4308
546.49838	0.4309
546.6591	0.4312
546.81982	0.43142
546.98052	0.43127
547.14122	0.43118
547.30191	0.43151
547.4626	0.43167
547.62327	0.43148
547.78394	0.43156
547.9446	0.4319
548.10525	0.43224
548.2659	0.43232
548.42654	0.43216
548.58717	0.43219
548.74779	0.4325
548.90841	0.43291
549.06902	0.43303
549.22962	0.43302
549.39022	0.43308
549.5508	0.43293
549.71138	0.43288
549.87195	0.43318
550.03252	0.43344
550.19308	0.43358
550.35362	0.43377
550.51417	0.43376
550.6747	0.43376
550.83523	0.43401
550.99575	0.43425
551.15626	0.43433
551.31677	0.43422
551.47726	0.43398
551.63775	0.43398
551.79824	0.43448
551.95871	0.43499
552.11918	0.43517
552.27964	0.43525
552.44009	0.43531
552.60054	0.43521
552.76098	0.43514
552.92141	0.4352
553.08183	0.43524
553.24224	0.43522
553.40265	0.43516
553.56305	0.43517
553.72345	0.4353
553.88383	0.43554
554.04421	0.43575
554.20458	0.43604
554.36494	0.43627
554.5253	0.43621
554.68565	0.4361
554.84599	0.43612
555.00632	0.43625
555.16665	0.43649
555.32697	0.43683
555.48728	0.43706
555.64758	0.43699
555.80788	0.43687
555.96816	0.43695
556.12844	0.43707
556.28872	0.43701
556.44898	0.43715
556.60924	0.43735
556.76949	0.43737
556.92974	0.43755
557.08997	0.43764
557.2502	0.43743
557.41042	0.43743
557.57064	0.43759
557.73084	0.43765
557.89104	0.43775
558.05123	0.43794
558.21141	0.43806
558.37159	0.43817
558.53176	0.43834
558.69192	0.43851
558.85207	0.43856
559.01222	0.43849
559.17236	0.43834
559.33249	0.43818
559.49261	0.43839
559.65273	0.43879
559.81283	0.43884
559.97294	0.43859
560.13303	0.43831
560.29311	0.43832
560.45319	0.43864
560.61326	0.43876
560.77333	0.43863
560.93338	0.43859
561.09343	0.43863
561.25347	0.43869
561.4135	0.43872
561.57353	0.43881
561.73355	0.43899
561.89356	0.43917
562.05356	0.43928
562.21356	0.43926
562.37354	0.43891
562.53352	0.43843
562.6935	0.4382
562.85346	0.43825
563.01342	0.43844
563.17337	0.43862
563.33331	0.43871
563.49325	0.43871
563.65317	0.43866
563.81309	0.43866
563.97301	0.43875
564.13291	0.43885
564.29281	0.43888
564.4527	0.43879
564.61258	0.43863
564.77245	0.43856
564.93232	0.43861
565.09218	0.43863
565.25203	0.43877
565.41188	0.43895
565.57171	0.43894
